Index,Date,Azimuth,Elevation,Shadow,RelShadow,R
0,42359,180.147,27.664,15.26,13.05,13.05
1,42360,180.0186,27.6642,15.26,13.05,13.05
2,42361,180.1491,27.672,15.26,13.04,13.04
3,42362,180.0207,27.688,15.25,13.03,13.03
4,42363,180.1516,27.7115,15.23,13.02,13.02
5,42364,180.0237,27.7431,15.21,13.00,13.00
6,42365,180.1556,27.7822,15.18,12.97,12.97
7,42366,180.0288,27.8295,15.15,12.94,12.94
8,42367,180.1623,27.8842,15.12,12.91,12.91
9,42368,180.0368,27.947,15.08,12.87,12.87
10,42369,180.1725,28.0172,15.03,12.82,12.82
11,42370,180.049,28.0954,14.99,12.77,12.77
12,42371,180.1876,28.181,14.93,12.72,12.72
13,42372,180.0664,28.2745,14.87,12.66,12.66
14,42373,180.2085,28.3752,14.81,12.60,12.60
15,42374,180.0902,28.4839,14.74,12.53,12.53
16,42375,180.2364,28.5995,14.67,12.46,12.46
17,42376,180.1216,28.7231,14.60,12.38,12.38
18,42377,180.2726,28.8534,14.52,12.31,12.31
19,42378,180.1618,28.9917,14.44,12.22,12.22
20,42379,180.0528,29.1369,14.35,12.14,12.14
21,42380,180.2119,29.289,14.26,12.05,12.05
22,42381,180.1078,29.4486,14.17,11.96,11.96
23,42382,180.2733,29.6146,14.07,11.86,11.86
24,42383,180.1745,29.7881,13.98,11.76,11.76
25,42384,180.0781,29.9683,13.87,11.66,11.66
26,42385,180.2541,30.1549,13.77,11.56,11.56
27,42386,180.1637,30.3486,13.66,11.45,11.45
28,42387,180.076,30.5487,13.55,11.34,11.34
29,42388,180.2637,30.7549,13.44,11.23,11.23
30,42389,180.1826,30.968,13.33,11.12,11.12
31,42390,180.1043,31.1873,13.22,11.00,11.00
32,42391,180.3048,31.4123,13.10,10.89,10.89
33,42392,180.2335,31.644,12.98,10.77,10.77
34,42393,180.1654,31.8816,12.86,10.65,10.65
35,42394,180.1003,32.125,12.74,10.53,10.53
36,42395,180.3187,32.3737,12.62,10.41,10.41
37,42396,180.2612,32.6287,12.50,10.28,10.28
38,42397,180.207,32.8893,12.37,10.16,10.16
39,42398,180.156,33.1553,12.25,10.03,10.03
40,42399,180.1084,33.4266,12.12,9.91,9.91
41,42400,180.0642,33.7031,11.99,9.78,9.78
42,42401,180.3115,33.9844,11.87,9.65,9.65
43,42402,180.2755,34.2712,11.74,9.53,9.53
44,42403,180.2431,34.563,11.61,9.40,9.40
45,42404,180.2142,34.8595,11.49,9.27,9.27
46,42405,180.189,35.1607,11.36,9.14,9.14
47,42406,180.1674,35.4664,11.23,9.02,9.02
48,42407,180.1495,35.7766,11.10,8.89,8.89
49,42408,180.1354,36.0911,10.97,8.76,8.76
50,42409,180.1251,36.4098,10.85,8.63,8.63
51,42410,180.1187,36.7326,10.72,8.51,8.51
52,42411,180.1162,37.0594,10.59,8.38,8.38
53,42412,180.1176,37.3901,10.47,8.25,8.25
54,42413,180.1231,37.7245,10.34,8.13,8.13
55,42414,180.1325,38.0625,10.22,8.00,8.00
