Index,Date,Azimuth,Elevation,Shadow
0,4/5/2016,180.5057,57.5233,5.0919896
1,4/6/2016,180.1748,57.901,5.018195972
2,4/7/2016,180.3075,58.276,4.945531169
3,4/8/2016,180.4409,58.6489,4.873854053
4,4/9/2016,180.0938,59.0204,4.803009044
5,4/10/2016,180.2236,59.3891,4.733241267
6,4/11/2016,180.3538,59.7554,4.66445175
7,4/12/2016,180.4843,60.1191,4.596656037
8,4/13/2016,180.1141,60.4812,4.529648096
9,4/14/2016,180.2395,60.84,4.4637222
10,4/15/2016,180.3647,61.196,4.398764548
11,4/16/2016,180.4894,61.5491,4.334773017
12,4/17/2016,180.092,61.9001,4.271584243
13,4/18/2016,180.2098,62.2476,4.209431484
14,4/19/2016,180.3266,62.5918,4.1482588
15,4/20/2016,180.442,62.9329,4.0880119
16,4/21/2016,180.556,63.2705,4.028743062
17,4/22/2016,180.1191,63.6059,3.970207748
18,4/23/2016,180.2236,63.9371,3.912738241
19,4/24/2016,180.3258,64.2647,3.856212207
20,4/25/2016,180.4255,64.5886,3.8006301
21,4/26/2016,180.5226,64.9088,3.745975616
22,4/27/2016,180.6166,65.2252,3.692250011
23,4/28/2016,180.1227,65.5389,3.639252566
24,4/29/2016,180.204,65.8477,3.587340174
25,4/30/2016,180.2814,66.1525,3.53634572
26,5/1/2016,180.355,66.453,3.48630493
27,5/2/2016,180.4243,66.7494,3.437170488
28,5/3/2016,180.4892,67.0414,3.38897856
29,5/4/2016,180.5495,67.3291,3.341699403
30,5/5/2016,180.6051,67.6122,3.295369402
31,5/6/2016,180.6557,67.8908,3.249959602
32,5/7/2016,180.0586,68.1658,3.205312183
33,5/8/2016,180.0921,68.4351,3.161756302
34,5/9/2016,180.1203,68.6996,3.119134004
35,5/10/2016,180.1428,68.9592,3.077450249
36,5/11/2016,180.1596,69.2138,3.036710244
37,5/12/2016,180.1704,69.4633,2.996919445
38,5/13/2016,180.1752,69.7076,2.958083554
39,5/14/2016,180.1737,69.9467,2.9201927
40,5/15/2016,180.1658,70.1804,2.883268999
41,5/16/2016,180.1513,70.4088,2.84728743
42,5/17/2016,180.13,70.6316,2.812286321
43,5/18/2016,180.1019,70.849,2.778225659
44,5/19/2016,180.0667,71.0607,2.745144194
45,5/20/2016,180.7549,71.2655,2.713220704
46,5/21/2016,180.7119,71.4659,2.682057911
47,5/22/2016,180.6615,71.6605,2.651866905
48,5/23/2016,180.6035,71.8492,2.622656104
49,5/24/2016,180.5379,72.032,2.594418719
50,5/25/2016,180.4646,72.2088,2.5671637
51,5/26/2016,180.3835,72.3795,2.540900213
52,5/27/2016,180.2948,72.544,2.515637634
53,5/28/2016,180.1984,72.7024,2.491354921
54,5/29/2016,180.0943,72.8545,2.46807732
55,5/30/2016,180.776,72.999,2.44599813
56,5/31/2016,180.6626,73.1387,2.424684718
57,6/1/2016,180.5417,73.272,2.404377077
58,6/2/2016,180.4138,73.3988,2.385086024
59,6/3/2016,180.2789,73.519,2.366822571
60,6/4/2016,180.1375,73.6327,2.349567597
61,6/5/2016,180.8138,73.7384,2.333544727
62,6/6/2016,180.6647,73.8392,2.318280697
63,6/7/2016,180.51,73.9332,2.304060402
64,6/8/2016,180.35,74.0205,2.290865714
65,6/9/2016,180.1853,74.1009,2.278724087
66,6/10/2016,180.0161,74.1745,2.267617871
67,6/11/2016,180.6895,74.2404,2.257680445
68,6/12/2016,180.5158,74.3007,2.248593124
69,6/13/2016,180.3388,74.3541,2.240550135
70,6/14/2016,180.1591,74.4006,2.233549828
71,6/15/2016,180.8326,74.4387,2.227816457
72,6/16/2016,180.6503,74.4717,2.222852261
73,6/17/2016,180.4664,74.4978,2.218927159
74,6/18/2016,180.2813,74.5168,2.216070428
75,6/19/2016,180.0956,74.5288,2.214266448
76,6/20/2016,180.7698,74.5326,2.213695231
77,6/21/2016,180.5843,74.5312,2.213905677
78,6/22/2016,180.3993,74.5228,2.215168412
79,6/23/2016,180.2154,74.5074,2.217483692
80,6/24/2016,180.0329,74.4849,2.220867028
81,6/25/2016,180.7088,74.4545,2.225439462
82,6/26/2016,180.5291,74.4187,2.230825835
83,6/27/2016,180.3521,74.3759,2.237267875
84,6/28/2016,180.1783,74.3262,2.244751846
85,6/29/2016,180.008,74.2696,2.253279279
86,6/30/2016,180.6866,74.2051,2.263002723
87,7/1/2016,180.5219,74.1353,2.273532129
88,7/2/2016,180.362,74.0587,2.285095717
89,7/3/2016,180.2073,73.9753,2.297695886
90,7/4/2016,180.0583,73.8852,2.311320145
91,7/5/2016,180.7416,73.7872,2.326153048
92,7/6/2016,180.6008,73.6843,2.341743486
93,7/7/2016,180.4667,73.5747,2.358367084
94,7/8/2016,180.3395,73.4586,2.375997035
95,7/9/2016,180.2195,73.336,2.394637073
96,7/10/2016,180.1069,73.2069,2.414291199
97,7/11/2016,180.002,73.0715,2.434933176
98,7/12/2016,180.6953,72.9286,2.456750778
99,7/13/2016,180.6003,72.7809,2.479336386
100,7/14/2016,180.513,72.627,2.502908498
101,7/15/2016,180.4336,72.4669,2.527472321
102,7/16/2016,180.3621,72.3008,2.553002598
103,7/17/2016,180.2985,72.1287,2.579504982
104,7/18/2016,180.2427,71.9506,2.606985443
